"","Dataset","DefectNum","ModuleNum","ImbLevel","ImbGroup","Metrics","Classifier","ImbLearner","ImbLearnerType","MCC","dset","bMCC","dMCC"
"370","synapse-1.2",86,256,1.97674418604651,"Low IR","CK","C4.5","Y","UBst",0.367,"synapse-1.2",0.462,-0.095
"371","velocity-1.6",78,229,1.93589743589744,"Low IR","CK","C4.5","Y","UBst",0.2381,"velocity-1.6",0.2073,0.0308
"372","xerces-1.2",71,440,5.19718309859155,"M&H IR","CK","C4.5","Y","UBst",0.2455,"xerces-1.2",-0.0046,0.2501
"373","xerces-1.3",69,453,5.56521739130435,"M&H IR","CK","C4.5","Y","UBst",0.3109,"xerces-1.3",0.3433,-0.0324
"374","Eclipse_JDT_Core",206,997,3.83980582524272,"Low IR","CK","C4.5","Y","UBst",0.3883,"Eclipse_JDT_Core",0.4041,-0.0158
"375","Eclipse_PDE_UI",209,1497,6.16267942583732,"M&H IR","CK","C4.5","Y","UBst",0.2199,"Eclipse_PDE_UI",0.0751,0.1448
"376","Equinox_Framework",129,324,1.51162790697674,"Low IR","CK","C4.5","Y","UBst",0.3712,"Equinox_Framework",0.3526,0.0185999999999999
"377","Lucene",64,691,9.796875,"M&H IR","CK","C4.5","Y","UBst",0.1599,"Lucene",0.0029,0.157
"378","Mylyn",245,1862,6.6,"M&H IR","CK","C4.5","Y","UBst",0.216,"Mylyn",0.0139,0.2021
"379","ant-1.3",20,125,5.25,"M&H IR","CK","C4.5","Y","OBst",0.2118,"ant-1.3",-0.0098,0.2216
"380","ant-1.4",40,178,3.45,"Low IR","CK","C4.5","Y","OBst",0.0388,"ant-1.4",0,0.0388
"381","ant-1.5",32,293,8.15625,"M&H IR","CK","C4.5","Y","OBst",0.244,"ant-1.5",0.3255,-0.0815
"382","ant-1.6",92,351,2.81521739130435,"Low IR","CK","C4.5","Y","OBst",0.3873,"ant-1.6",0.4712,-0.0839
"383","camel-1.0",13,339,25.0769230769231,"M&H IR","CK","C4.5","Y","OBst",-0.0109,"camel-1.0",0,-0.0109
"384","camel-1.2",216,608,1.81481481481481,"Low IR","CK","C4.5","Y","OBst",0.0814,"camel-1.2",0.0254,0.056
"385","camel-1.4",145,872,5.01379310344828,"M&H IR","CK","C4.5","Y","OBst",0.1366,"camel-1.4",0.0968,0.0398
"386","camel-1.6",188,965,4.13297872340426,"M&H IR","CK","C4.5","Y","OBst",0.1412,"camel-1.6",0.105,0.0362
"387","ivy-2.0",40,352,7.8,"M&H IR","CK","C4.5","Y","OBst",0.1793,"ivy-2.0",0.0938,0.0855
"388","jedit-3.2",90,272,2.02222222222222,"Low IR","CK","C4.5","Y","OBst",0.3955,"jedit-3.2",0.4465,-0.051
"389","jedit-4.0",75,306,3.08,"Low IR","CK","C4.5","Y","OBst",0.3498,"jedit-4.0",0.3875,-0.0377
"390","jedit-4.1",79,312,2.9493670886076,"Low IR","CK","C4.5","Y","OBst",0.341,"jedit-4.1",0.4463,-0.1053
"391","jedit-4.2",48,367,6.64583333333333,"M&H IR","CK","C4.5","Y","OBst",0.218,"jedit-4.2",0.0516,0.1664
