Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,Metrics,Classifier,ImbLearner,ImbLearnerType,AUC,MCC
ant-1.3,20,125,0.16,5.25,CK,RF,Y,UOS,0.6858 ,0.2703 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,UOS,0.6795 ,0.3288 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,UOS,0.6915 ,0.3338 
ant-1.3,20,125,0.16,5.25,CK,C4.5,Y,US,0.6987 ,0.3196 
ant-1.3,20,125,0.16,5.25,CK,IBk,Y,US,0.7570 ,0.3639 
ant-1.3,20,125,0.16,5.25,CK,LR,Y,US,0.8132 ,0.4102 
ant-1.3,20,125,0.16,5.25,CK,NB,Y,US,0.7804 ,0.4062 
ant-1.3,20,125,0.16,5.25,CK,RF,Y,US,0.6972 ,0.2595 
ant-1.3,20,125,0.16,5.25,CK,Ripper,Y,US,0.7108 ,0.3444 
ant-1.3,20,125,0.16,5.25,CK,SVM,Y,US,0.6718 ,0.3323 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,Bag,0.5021 ,-0.0027 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,Bag,0.6161 ,0.0022 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,Bag,0.4835 ,0.0000 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,Bag,0.5979 ,0.0002 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,Bag,0.5924 ,0.0381 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,Bag,0.5126 ,0.0006 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,Bag,0.4989 ,0.0000 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,Bst,0.6038 ,0.0116 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,Bst,0.5619 ,0.0074 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,Bst,0.4947 ,-0.0246 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,Bst,0.5728 ,-0.0245 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,Bst,0.5779 ,0.0675 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,Bst,0.5843 ,0.0019 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,Bst,0.5185 ,0.0000 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,COS,0.5059 ,0.0091 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,COS,0.5983 ,0.1454 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,COS,0.5092 ,0.0120 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,COS,0.5620 ,0.0504 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,COS,0.6052 ,0.1504 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,COS,0.5002 ,0.0069 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,COS,0.5000 ,0.0000 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,Y,EM1v1,0.5796 ,0.0700 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,Y,EM1v1,0.5652 ,0.0764 
ant-1.4,40,178,0.224719101,3.45,CK,LR,Y,EM1v1,0.4634 ,-0.0274 
ant-1.4,40,178,0.224719101,3.45,CK,NB,Y,EM1v1,0.5673 ,0.1267 
ant-1.4,40,178,0.224719101,3.45,CK,RF,Y,EM1v1,0.5513 ,0.0330 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,Y,EM1v1,0.5636 ,0.0700 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,Y,EM1v1,0.4939 ,-0.0007 
ant-1.4,40,178,0.224719101,3.45,CK,C4.5,N,none,0.5000 ,0.0000 
ant-1.4,40,178,0.224719101,3.45,CK,IBk,N,none,0.6278 ,-0.0254 
ant-1.4,40,178,0.224719101,3.45,CK,LR,N,none,0.3820 ,-0.0038 
ant-1.4,40,178,0.224719101,3.45,CK,NB,N,none,0.6107 ,0.0070 
ant-1.4,40,178,0.224719101,3.45,CK,RF,N,none,0.5931 ,-0.0252 
ant-1.4,40,178,0.224719101,3.45,CK,Ripper,N,none,0.5002 ,0.0027 
ant-1.4,40,178,0.224719101,3.45,CK,SVM,N,none,0.5000 ,0.0000 
