"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"Equinox_Framework",129,324,0.398148148,1.511627907,"NET+PROC","Ripper","Y","SBst",0.8174,0.4827,"Low IR","Equinox_Framework",0.4477,0.035
"ivy-2.0",40,352,0.113636364,7.8,"NET+PROC","Ripper","Y","SBst",0.7946,0.3584,"M&H IR","ivy-2.0",0.2025,0.1559
"jedit-3.2",90,272,0.330882353,2.022222222,"NET+PROC","Ripper","Y","SBst",0.891,0.691,"Low IR","jedit-3.2",0.6381,0.0528999999999999
"jedit-4.0",75,306,0.245098039,3.08,"NET+PROC","Ripper","Y","SBst",0.8276,0.4717,"Low IR","jedit-4.0",0.3891,0.0826
"jedit-4.1",79,312,0.253205128,2.949367089,"NET+PROC","Ripper","Y","SBst",0.8279,0.4684,"Low IR","jedit-4.1",0.4449,0.0235
"jedit-4.2",48,367,0.130790191,6.645833333,"NET+PROC","Ripper","Y","SBst",0.8557,0.4929,"M&H IR","jedit-4.2",0.4775,0.0154
"jedit-4.3",11,492,0.022357724,43.72727273,"NET+PROC","Ripper","Y","SBst",0.853,0.2808,"M&H IR","jedit-4.3",0.0081,0.2727
"log4j-1.0",34,135,0.251851852,2.970588235,"NET+PROC","Ripper","Y","SBst",0.8486,0.5542,"Low IR","log4j-1.0",0.5315,0.0227000000000001
"Lucene",64,691,0.092619392,9.796875,"NET+PROC","Ripper","Y","SBst",0.7578,0.2971,"M&H IR","Lucene",0.2513,0.0458
"Mylyn",245,1862,0.131578947,6.6,"NET+PROC","Ripper","Y","SBst",0.7136,0.2679,"M&H IR","Mylyn",0.1968,0.0711
"poi-2.0",37,314,0.117834395,7.486486486,"NET+PROC","Ripper","Y","SBst",0.7289,0.2571,"M&H IR","poi-2.0",0.2433,0.0138
"synapse-1.0",16,157,0.101910828,8.8125,"NET+PROC","Ripper","Y","SBst",0.7108,0.2366,"M&H IR","synapse-1.0",0.1234,0.1132
"synapse-1.1",60,222,0.27027027,2.7,"NET+PROC","Ripper","Y","SBst",0.7682,0.4008,"Low IR","synapse-1.1",0.3627,0.0381
"synapse-1.2",86,256,0.3359375,1.976744186,"NET+PROC","Ripper","Y","SBst",0.7791,0.4161,"Low IR","synapse-1.2",0.3392,0.0769
"velocity-1.6",78,229,0.340611354,1.935897436,"NET+PROC","Ripper","Y","SBst",0.7722,0.4148,"Low IR","velocity-1.6",0.4176,-0.00280000000000002
"xerces-1.2",71,440,0.161363636,5.197183099,"NET+PROC","Ripper","Y","SBst",0.8982,0.6061,"M&H IR","xerces-1.2",0.6727,-0.0666
"xerces-1.3",69,453,0.152317881,5.565217391,"NET+PROC","Ripper","Y","SBst",0.8279,0.4461,"M&H IR","xerces-1.3",0.3988,0.0473
"ant-1.3",20,125,0.16,5.25,"CK+NET+PROC","Ripper","Y","Bag",0.7563,0.1278,"M&H IR","ant-1.3",0.0869,0.0409
"ant-1.4",40,178,0.224719101,3.45,"CK+NET+PROC","Ripper","Y","Bag",0.8263,0.3818,"Low IR","ant-1.4",0.3546,0.0271999999999999
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET+PROC","Ripper","Y","Bag",0.8093,0.2876,"M&H IR","ant-1.5",0.3808,-0.0932
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET+PROC","Ripper","Y","Bag",0.8044,0.4762,"Low IR","ant-1.6",0.4875,-0.0113
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET+PROC","Ripper","Y","Bag",0.6821,0.0426,"M&H IR","camel-1.0",0.0292,0.0134
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET+PROC","Ripper","Y","Bag",0.7875,0.4569,"Low IR","camel-1.2",0.4163,0.0406
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET+PROC","Ripper","Y","Bag",0.7903,0.4511,"M&H IR","camel-1.4",0.4437,0.00740000000000002
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET+PROC","Ripper","Y","Bag",0.8214,0.4306,"M&H IR","camel-1.6",0.4007,0.0299
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET+PROC","Ripper","Y","Bag",0.8249,0.4779,"Low IR","Eclipse_JDT_Core",0.4311,0.0468
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET+PROC","Ripper","Y","Bag",0.7115,0.1601,"M&H IR","Eclipse_PDE_UI",0.2005,-0.0404
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET+PROC","Ripper","Y","Bag",0.8256,0.4867,"Low IR","Equinox_Framework",0.4233,0.0634
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET+PROC","Ripper","Y","Bag",0.7503,0.2066,"M&H IR","ivy-2.0",0.1595,0.0471
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET+PROC","Ripper","Y","Bag",0.8941,0.6251,"Low IR","jedit-3.2",0.6085,0.0165999999999999
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET+PROC","Ripper","Y","Bag",0.8077,0.4874,"Low IR","jedit-4.0",0.4374,0.05
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET+PROC","Ripper","Y","Bag",0.8283,0.4872,"Low IR","jedit-4.1",0.4272,0.06
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET+PROC","Ripper","Y","Bag",0.829,0.4725,"M&H IR","jedit-4.2",0.4281,0.0444
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET+PROC","Ripper","Y","Bag",0.7125,0.0425,"M&H IR","jedit-4.3",0.0255,0.017
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET+PROC","Ripper","Y","Bag",0.8512,0.5625,"Low IR","log4j-1.0",0.4933,0.0692
"Lucene",64,691,0.092619392,9.796875,"CK+NET+PROC","Ripper","Y","Bag",0.7335,0.2823,"M&H IR","Lucene",0.2564,0.0259
"Mylyn",245,1862,0.131578947,6.6,"CK+NET+PROC","Ripper","Y","Bag",0.7124,0.2484,"M&H IR","Mylyn",0.2136,0.0348
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET+PROC","Ripper","Y","Bag",0.7315,0.1751,"M&H IR","poi-2.0",0.251,-0.0759
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET+PROC","Ripper","Y","Bag",0.7418,0.0833,"M&H IR","synapse-1.0",0.1153,-0.032
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET+PROC","Ripper","Y","Bag",0.7926,0.4537,"Low IR","synapse-1.1",0.3701,0.0836
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET+PROC","Ripper","Y","Bag",0.8061,0.4366,"Low IR","synapse-1.2",0.4219,0.0147
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET+PROC","Ripper","Y","Bag",0.8041,0.4801,"Low IR","velocity-1.6",0.4332,0.0469000000000001
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET+PROC","Ripper","Y","Bag",0.9023,0.6293,"M&H IR","xerces-1.2",0.6491,-0.0198
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET+PROC","Ripper","Y","Bag",0.8525,0.4344,"M&H IR","xerces-1.3",0.3998,0.0346
"ant-1.3",20,125,0.16,5.25,"CK+NET+PROC","Ripper","Y","Bst",0.7763,0.229,"M&H IR","ant-1.3",0.0869,0.1421
"ant-1.4",40,178,0.224719101,3.45,"CK+NET+PROC","Ripper","Y","Bst",0.7938,0.3591,"Low IR","ant-1.4",0.3546,0.00449999999999995
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET+PROC","Ripper","Y","Bst",0.7962,0.346,"M&H IR","ant-1.5",0.3808,-0.0348000000000001
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET+PROC","Ripper","Y","Bst",0.7819,0.389,"Low IR","ant-1.6",0.4875,-0.0985
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET+PROC","Ripper","Y","Bst",0.7625,0.0431,"M&H IR","camel-1.0",0.0292,0.0139
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET+PROC","Ripper","Y","Bst",0.7686,0.381,"Low IR","camel-1.2",0.4163,-0.0353
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET+PROC","Ripper","Y","Bst",0.7823,0.3607,"M&H IR","camel-1.4",0.4437,-0.083
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET+PROC","Ripper","Y","Bst",0.8087,0.4057,"M&H IR","camel-1.6",0.4007,0.005
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET+PROC","Ripper","Y","Bst",0.801,0.4367,"Low IR","Eclipse_JDT_Core",0.4311,0.00559999999999999
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET+PROC","Ripper","Y","Bst",0.7113,0.2101,"M&H IR","Eclipse_PDE_UI",0.2005,0.0096
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET+PROC","Ripper","Y","Bst",0.8028,0.4445,"Low IR","Equinox_Framework",0.4233,0.0212
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET+PROC","Ripper","Y","Bst",0.7571,0.2051,"M&H IR","ivy-2.0",0.1595,0.0456
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET+PROC","Ripper","Y","Bst",0.882,0.5805,"Low IR","jedit-3.2",0.6085,-0.028
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET+PROC","Ripper","Y","Bst",0.7955,0.4026,"Low IR","jedit-4.0",0.4374,-0.0348
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET+PROC","Ripper","Y","Bst",0.8394,0.4552,"Low IR","jedit-4.1",0.4272,0.028
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET+PROC","Ripper","Y","Bst",0.827,0.4209,"M&H IR","jedit-4.2",0.4281,-0.00719999999999998
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET+PROC","Ripper","Y","Bst",0.7874,0.1576,"M&H IR","jedit-4.3",0.0255,0.1321
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET+PROC","Ripper","Y","Bst",0.8177,0.4853,"Low IR","log4j-1.0",0.4933,-0.00800000000000001
"Lucene",64,691,0.092619392,9.796875,"CK+NET+PROC","Ripper","Y","Bst",0.7485,0.3447,"M&H IR","Lucene",0.2564,0.0883
"Mylyn",245,1862,0.131578947,6.6,"CK+NET+PROC","Ripper","Y","Bst",0.7357,0.2842,"M&H IR","Mylyn",0.2136,0.0706
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET+PROC","Ripper","Y","Bst",0.7541,0.2066,"M&H IR","poi-2.0",0.251,-0.0444
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET+PROC","Ripper","Y","Bst",0.7209,0.121,"M&H IR","synapse-1.0",0.1153,0.0057
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET+PROC","Ripper","Y","Bst",0.7835,0.4676,"Low IR","synapse-1.1",0.3701,0.0975
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET+PROC","Ripper","Y","Bst",0.7812,0.4117,"Low IR","synapse-1.2",0.4219,-0.0102
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET+PROC","Ripper","Y","Bst",0.7889,0.4385,"Low IR","velocity-1.6",0.4332,0.00530000000000003
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET+PROC","Ripper","Y","Bst",0.9123,0.6031,"M&H IR","xerces-1.2",0.6491,-0.046
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET+PROC","Ripper","Y","Bst",0.8471,0.466,"M&H IR","xerces-1.3",0.3998,0.0662
"ant-1.3",20,125,0.16,5.25,"CK+NET+PROC","Ripper","Y","US",0.7094,0.3354,"M&H IR","ant-1.3",0.0869,0.2485
"ant-1.4",40,178,0.224719101,3.45,"CK+NET+PROC","Ripper","Y","US",0.7168,0.3643,"Low IR","ant-1.4",0.3546,0.00969999999999999
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET+PROC","Ripper","Y","US",0.7048,0.2936,"M&H IR","ant-1.5",0.3808,-0.0872
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET+PROC","Ripper","Y","US",0.7396,0.4359,"Low IR","ant-1.6",0.4875,-0.0516
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET+PROC","Ripper","Y","US",0.6138,0.0943,"M&H IR","camel-1.0",0.0292,0.0651
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET+PROC","Ripper","Y","US",0.7061,0.3979,"Low IR","camel-1.2",0.4163,-0.0184
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET+PROC","Ripper","Y","US",0.7493,0.3956,"M&H IR","camel-1.4",0.4437,-0.0481
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET+PROC","Ripper","Y","US",0.7782,0.455,"M&H IR","camel-1.6",0.4007,0.0543
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET+PROC","Ripper","Y","US",0.7459,0.4028,"Low IR","Eclipse_JDT_Core",0.4311,-0.0283
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET+PROC","Ripper","Y","US",0.671,0.2412,"M&H IR","Eclipse_PDE_UI",0.2005,0.0407
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET+PROC","Ripper","Y","US",0.7357,0.445,"Low IR","Equinox_Framework",0.4233,0.0217
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET+PROC","Ripper","Y","US",0.7281,0.3155,"M&H IR","ivy-2.0",0.1595,0.156
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET+PROC","Ripper","Y","US",0.8226,0.5984,"Low IR","jedit-3.2",0.6085,-0.0101
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET+PROC","Ripper","Y","US",0.7535,0.4311,"Low IR","jedit-4.0",0.4374,-0.00630000000000003
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET+PROC","Ripper","Y","US",0.7446,0.4247,"Low IR","jedit-4.1",0.4272,-0.0025
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET+PROC","Ripper","Y","US",0.7683,0.4019,"M&H IR","jedit-4.2",0.4281,-0.0262
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET+PROC","Ripper","Y","US",0.7391,0.1521,"M&H IR","jedit-4.3",0.0255,0.1266
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET+PROC","Ripper","Y","US",0.75,0.4727,"Low IR","log4j-1.0",0.4933,-0.0206
"Lucene",64,691,0.092619392,9.796875,"CK+NET+PROC","Ripper","Y","US",0.6985,0.2604,"M&H IR","Lucene",0.2564,0.004
"Mylyn",245,1862,0.131578947,6.6,"CK+NET+PROC","Ripper","Y","US",0.6617,0.2155,"M&H IR","Mylyn",0.2136,0.00189999999999999
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET+PROC","Ripper","Y","US",0.6218,0.1626,"M&H IR","poi-2.0",0.251,-0.0884
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET+PROC","Ripper","Y","US",0.6942,0.267,"M&H IR","synapse-1.0",0.1153,0.1517
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET+PROC","Ripper","Y","US",0.7168,0.3959,"Low IR","synapse-1.1",0.3701,0.0258
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET+PROC","Ripper","Y","US",0.6916,0.3629,"Low IR","synapse-1.2",0.4219,-0.059
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET+PROC","Ripper","Y","US",0.6986,0.3734,"Low IR","velocity-1.6",0.4332,-0.0598
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET+PROC","Ripper","Y","US",0.8449,0.5509,"M&H IR","xerces-1.2",0.6491,-0.0982000000000001
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET+PROC","Ripper","Y","US",0.7345,0.3386,"M&H IR","xerces-1.3",0.3998,-0.0612
"ant-1.3",20,125,0.16,5.25,"CK+NET+PROC","Ripper","Y","OS",0.667,0.316,"M&H IR","ant-1.3",0.0869,0.2291
"ant-1.4",40,178,0.224719101,3.45,"CK+NET+PROC","Ripper","Y","OS",0.7133,0.3986,"Low IR","ant-1.4",0.3546,0.044
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET+PROC","Ripper","Y","OS",0.6733,0.3175,"M&H IR","ant-1.5",0.3808,-0.0633
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET+PROC","Ripper","Y","OS",0.7089,0.397,"Low IR","ant-1.6",0.4875,-0.0905
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET+PROC","Ripper","Y","OS",0.5258,0.0431,"M&H IR","camel-1.0",0.0292,0.0139
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET+PROC","Ripper","Y","OS",0.7198,0.3899,"Low IR","camel-1.2",0.4163,-0.0264
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET+PROC","Ripper","Y","OS",0.7029,0.3564,"M&H IR","camel-1.4",0.4437,-0.0873
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET+PROC","Ripper","Y","OS",0.735,0.421,"M&H IR","camel-1.6",0.4007,0.0203
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET+PROC","Ripper","Y","OS",0.719,0.3971,"Low IR","Eclipse_JDT_Core",0.4311,-0.034
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET+PROC","Ripper","Y","OS",0.6154,0.2044,"M&H IR","Eclipse_PDE_UI",0.2005,0.00389999999999999
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET+PROC","Ripper","Y","OS",0.7428,0.4605,"Low IR","Equinox_Framework",0.4233,0.0372
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET+PROC","Ripper","Y","OS",0.6156,0.2062,"M&H IR","ivy-2.0",0.1595,0.0467
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET+PROC","Ripper","Y","OS",0.8237,0.6002,"Low IR","jedit-3.2",0.6085,-0.00830000000000009
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET+PROC","Ripper","Y","OS",0.7305,0.4274,"Low IR","jedit-4.0",0.4374,-0.01
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET+PROC","Ripper","Y","OS",0.7291,0.4264,"Low IR","jedit-4.1",0.4272,-0.000800000000000023
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET+PROC","Ripper","Y","OS",0.7147,0.3724,"M&H IR","jedit-4.2",0.4281,-0.0557
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET+PROC","Ripper","Y","OS",0.6443,0.2133,"M&H IR","jedit-4.3",0.0255,0.1878
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET+PROC","Ripper","Y","OS",0.7471,0.51,"Low IR","log4j-1.0",0.4933,0.0167
"Lucene",64,691,0.092619392,9.796875,"CK+NET+PROC","Ripper","Y","OS",0.6346,0.2448,"M&H IR","Lucene",0.2564,-0.0116
"Mylyn",245,1862,0.131578947,6.6,"CK+NET+PROC","Ripper","Y","OS",0.6323,0.2276,"M&H IR","Mylyn",0.2136,0.014
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET+PROC","Ripper","Y","OS",0.6132,0.2227,"M&H IR","poi-2.0",0.251,-0.0283
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET+PROC","Ripper","Y","OS",0.6621,0.2804,"M&H IR","synapse-1.0",0.1153,0.1651
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET+PROC","Ripper","Y","OS",0.6913,0.3675,"Low IR","synapse-1.1",0.3701,-0.00259999999999999
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET+PROC","Ripper","Y","OS",0.71,0.4226,"Low IR","synapse-1.2",0.4219,0.000699999999999978
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET+PROC","Ripper","Y","OS",0.7085,0.4029,"Low IR","velocity-1.6",0.4332,-0.0303
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET+PROC","Ripper","Y","OS",0.8167,0.5762,"M&H IR","xerces-1.2",0.6491,-0.0729
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET+PROC","Ripper","Y","OS",0.725,0.4067,"M&H IR","xerces-1.3",0.3998,0.00690000000000002
"ant-1.3",20,125,0.16,5.25,"CK+NET+PROC","Ripper","Y","UOS",0.6692,0.2924,"M&H IR","ant-1.3",0.0869,0.2055
"ant-1.4",40,178,0.224719101,3.45,"CK+NET+PROC","Ripper","Y","UOS",0.686,0.3288,"Low IR","ant-1.4",0.3546,-0.0258
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET+PROC","Ripper","Y","UOS",0.7007,0.3048,"M&H IR","ant-1.5",0.3808,-0.076
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET+PROC","Ripper","Y","UOS",0.708,0.3801,"Low IR","ant-1.6",0.4875,-0.1074
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET+PROC","Ripper","Y","UOS",0.563,0.0759,"M&H IR","camel-1.0",0.0292,0.0467
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET+PROC","Ripper","Y","UOS",0.6845,0.3426,"Low IR","camel-1.2",0.4163,-0.0737
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET+PROC","Ripper","Y","UOS",0.722,0.3348,"M&H IR","camel-1.4",0.4437,-0.1089
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET+PROC","Ripper","Y","UOS",0.7355,0.3929,"M&H IR","camel-1.6",0.4007,-0.00779999999999997
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET+PROC","Ripper","Y","UOS",0.7269,0.3796,"Low IR","Eclipse_JDT_Core",0.4311,-0.0515
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET+PROC","Ripper","Y","UOS",0.6587,0.2334,"M&H IR","Eclipse_PDE_UI",0.2005,0.0329
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET+PROC","Ripper","Y","UOS",0.7272,0.437,"Low IR","Equinox_Framework",0.4233,0.0137
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET+PROC","Ripper","Y","UOS",0.6345,0.2221,"M&H IR","ivy-2.0",0.1595,0.0626
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET+PROC","Ripper","Y","UOS",0.8045,0.5878,"Low IR","jedit-3.2",0.6085,-0.0207000000000001
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET+PROC","Ripper","Y","UOS",0.7265,0.408,"Low IR","jedit-4.0",0.4374,-0.0294
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET+PROC","Ripper","Y","UOS",0.7363,0.4187,"Low IR","jedit-4.1",0.4272,-0.00850000000000001
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET+PROC","Ripper","Y","UOS",0.7502,0.3797,"M&H IR","jedit-4.2",0.4281,-0.0484
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET+PROC","Ripper","Y","UOS",0.6887,0.2191,"M&H IR","jedit-4.3",0.0255,0.1936
"log4j-1.0",34,135,0.251851852,2.970588235,"CK+NET+PROC","Ripper","Y","UOS",0.7458,0.4667,"Low IR","log4j-1.0",0.4933,-0.0266
"Lucene",64,691,0.092619392,9.796875,"CK+NET+PROC","Ripper","Y","UOS",0.6531,0.2264,"M&H IR","Lucene",0.2564,-0.03
"Mylyn",245,1862,0.131578947,6.6,"CK+NET+PROC","Ripper","Y","UOS",0.6674,0.2428,"M&H IR","Mylyn",0.2136,0.0292
"poi-2.0",37,314,0.117834395,7.486486486,"CK+NET+PROC","Ripper","Y","UOS",0.6432,0.2118,"M&H IR","poi-2.0",0.251,-0.0392
"synapse-1.0",16,157,0.101910828,8.8125,"CK+NET+PROC","Ripper","Y","UOS",0.6352,0.2314,"M&H IR","synapse-1.0",0.1153,0.1161
"synapse-1.1",60,222,0.27027027,2.7,"CK+NET+PROC","Ripper","Y","UOS",0.6829,0.3353,"Low IR","synapse-1.1",0.3701,-0.0348
"synapse-1.2",86,256,0.3359375,1.976744186,"CK+NET+PROC","Ripper","Y","UOS",0.6692,0.3374,"Low IR","synapse-1.2",0.4219,-0.0845
"velocity-1.6",78,229,0.340611354,1.935897436,"CK+NET+PROC","Ripper","Y","UOS",0.6734,0.3355,"Low IR","velocity-1.6",0.4332,-0.0977
"xerces-1.2",71,440,0.161363636,5.197183099,"CK+NET+PROC","Ripper","Y","UOS",0.824,0.5497,"M&H IR","xerces-1.2",0.6491,-0.0994
"xerces-1.3",69,453,0.152317881,5.565217391,"CK+NET+PROC","Ripper","Y","UOS",0.7266,0.3602,"M&H IR","xerces-1.3",0.3998,-0.0396
"ant-1.3",20,125,0.16,5.25,"CK+NET+PROC","Ripper","Y","SMOTE",0.6891,0.3526,"M&H IR","ant-1.3",0.0869,0.2657
"ant-1.4",40,178,0.224719101,3.45,"CK+NET+PROC","Ripper","Y","SMOTE",0.7371,0.4413,"Low IR","ant-1.4",0.3546,0.0867
"ant-1.5",32,293,0.109215017,8.15625,"CK+NET+PROC","Ripper","Y","SMOTE",0.6905,0.3305,"M&H IR","ant-1.5",0.3808,-0.0503
"ant-1.6",92,351,0.262108262,2.815217391,"CK+NET+PROC","Ripper","Y","SMOTE",0.7479,0.4361,"Low IR","ant-1.6",0.4875,-0.0514
"camel-1.0",13,339,0.038348083,25.07692308,"CK+NET+PROC","Ripper","Y","SMOTE",0.6059,0.157,"M&H IR","camel-1.0",0.0292,0.1278
"camel-1.2",216,608,0.355263158,1.814814815,"CK+NET+PROC","Ripper","Y","SMOTE",0.7193,0.4109,"Low IR","camel-1.2",0.4163,-0.00540000000000002
"camel-1.4",145,872,0.166284404,5.013793103,"CK+NET+PROC","Ripper","Y","SMOTE",0.7103,0.4254,"M&H IR","camel-1.4",0.4437,-0.0183
"camel-1.6",188,965,0.194818653,4.132978723,"CK+NET+PROC","Ripper","Y","SMOTE",0.7488,0.4829,"M&H IR","camel-1.6",0.4007,0.0822
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK+NET+PROC","Ripper","Y","SMOTE",0.7394,0.4043,"Low IR","Eclipse_JDT_Core",0.4311,-0.0268
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK+NET+PROC","Ripper","Y","SMOTE",0.6266,0.2269,"M&H IR","Eclipse_PDE_UI",0.2005,0.0264
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK+NET+PROC","Ripper","Y","SMOTE",0.7441,0.4518,"Low IR","Equinox_Framework",0.4233,0.0285
"ivy-2.0",40,352,0.113636364,7.8,"CK+NET+PROC","Ripper","Y","SMOTE",0.6701,0.2653,"M&H IR","ivy-2.0",0.1595,0.1058
"jedit-3.2",90,272,0.330882353,2.022222222,"CK+NET+PROC","Ripper","Y","SMOTE",0.8468,0.6512,"Low IR","jedit-3.2",0.6085,0.0427
"jedit-4.0",75,306,0.245098039,3.08,"CK+NET+PROC","Ripper","Y","SMOTE",0.7482,0.4208,"Low IR","jedit-4.0",0.4374,-0.0166
"jedit-4.1",79,312,0.253205128,2.949367089,"CK+NET+PROC","Ripper","Y","SMOTE",0.751,0.4401,"Low IR","jedit-4.1",0.4272,0.0129
"jedit-4.2",48,367,0.130790191,6.645833333,"CK+NET+PROC","Ripper","Y","SMOTE",0.7726,0.4118,"M&H IR","jedit-4.2",0.4281,-0.0163
"jedit-4.3",11,492,0.022357724,43.72727273,"CK+NET+PROC","Ripper","Y","SMOTE",0.673,0.1997,"M&H IR","jedit-4.3",0.0255,0.1742
