"Dataset","DefectNum","ModuleNum","DefectRate","ImbLevel","Metrics","Classifier","ImbLearner","ImbLearnerType","AUC","MCC","ImbGroup","dset","bMCC","dMCC"
"ivy-2.0",40,352,0.113636364,7.8,"CK","C4.5","Y","US",0.7121,0.2984,"M&H IR","ivy-2.0",0.0938,0.2046
"jedit-3.2",90,272,0.330882353,2.022222222,"CK","C4.5","Y","US",0.7296,0.4269,"Low IR","jedit-3.2",0.4465,-0.0196
"jedit-4.0",75,306,0.245098039,3.08,"CK","C4.5","Y","US",0.6935,0.3502,"Low IR","jedit-4.0",0.3875,-0.0373
"jedit-4.1",79,312,0.253205128,2.949367089,"CK","C4.5","Y","US",0.7068,0.3883,"Low IR","jedit-4.1",0.4463,-0.058
"jedit-4.2",48,367,0.130790191,6.645833333,"CK","C4.5","Y","US",0.7556,0.3735,"M&H IR","jedit-4.2",0.0516,0.3219
"jedit-4.3",11,492,0.022357724,43.72727273,"CK","C4.5","Y","US",0.5829,0.0602,"M&H IR","jedit-4.3",0,0.0602
"log4j-1.0",34,135,0.251851852,2.970588235,"CK","C4.5","Y","US",0.714,0.3984,"Low IR","log4j-1.0",0.4226,-0.0242
"Lucene",64,691,0.092619392,9.796875,"CK","C4.5","Y","US",0.6115,0.1649,"M&H IR","Lucene",0.0029,0.162
"Mylyn",245,1862,0.131578947,6.6,"CK","C4.5","Y","US",0.6568,0.2221,"M&H IR","Mylyn",0.0139,0.2082
"poi-2.0",37,314,0.117834395,7.486486486,"CK","C4.5","Y","US",0.5826,0.1159,"M&H IR","poi-2.0",0.0231,0.0928
"synapse-1.0",16,157,0.101910828,8.8125,"CK","C4.5","Y","US",0.6836,0.2515,"M&H IR","synapse-1.0",0.0136,0.2379
"synapse-1.1",60,222,0.27027027,2.7,"CK","C4.5","Y","US",0.6555,0.285,"Low IR","synapse-1.1",0.3822,-0.0972
"synapse-1.2",86,256,0.3359375,1.976744186,"CK","C4.5","Y","US",0.6969,0.3865,"Low IR","synapse-1.2",0.462,-0.0755
"velocity-1.6",78,229,0.340611354,1.935897436,"CK","C4.5","Y","US",0.6166,0.2183,"Low IR","velocity-1.6",0.2073,0.011
"xerces-1.2",71,440,0.161363636,5.197183099,"CK","C4.5","Y","US",0.6462,0.2235,"M&H IR","xerces-1.2",-0.0046,0.2281
"xerces-1.3",69,453,0.152317881,5.565217391,"CK","C4.5","Y","US",0.7098,0.2915,"M&H IR","xerces-1.3",0.3433,-0.0518
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","OS",0.6642,0.2869,"M&H IR","ant-1.3",-0.0098,0.2967
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","OS",0.6056,0.142,"Low IR","ant-1.4",0,0.142
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","OS",0.6426,0.2493,"M&H IR","ant-1.5",0.3255,-0.0762
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","OS",0.7194,0.4193,"Low IR","ant-1.6",0.4712,-0.0519
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","OS",0.5091,0.0114,"M&H IR","camel-1.0",0,0.0114
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","OS",0.5438,0.0659,"Low IR","camel-1.2",0.0254,0.0405
"camel-1.4",145,872,0.166284404,5.013793103,"CK","C4.5","Y","OS",0.5563,0.1142,"M&H IR","camel-1.4",0.0968,0.0174
"camel-1.6",188,965,0.194818653,4.132978723,"CK","C4.5","Y","OS",0.5774,0.1163,"M&H IR","camel-1.6",0.105,0.0113
"Eclipse_JDT_Core",206,997,0.20661986,3.839805825,"CK","C4.5","Y","OS",0.6992,0.3582,"Low IR","Eclipse_JDT_Core",0.4041,-0.0459
"Eclipse_PDE_UI",209,1497,0.139612558,6.162679426,"CK","C4.5","Y","OS",0.5967,0.176,"M&H IR","Eclipse_PDE_UI",0.0751,0.1009
"Equinox_Framework",129,324,0.398148148,1.511627907,"CK","C4.5","Y","OS",0.715,0.3765,"Low IR","Equinox_Framework",0.3526,0.0239
"ivy-2.0",40,352,0.113636364,7.8,"CK","C4.5","Y","OS",0.6074,0.1965,"M&H IR","ivy-2.0",0.0938,0.1027
"jedit-3.2",90,272,0.330882353,2.022222222,"CK","C4.5","Y","OS",0.7213,0.4073,"Low IR","jedit-3.2",0.4465,-0.0392
"jedit-4.0",75,306,0.245098039,3.08,"CK","C4.5","Y","OS",0.684,0.3683,"Low IR","jedit-4.0",0.3875,-0.0192
"jedit-4.1",79,312,0.253205128,2.949367089,"CK","C4.5","Y","OS",0.6648,0.3337,"Low IR","jedit-4.1",0.4463,-0.1126
"jedit-4.2",48,367,0.130790191,6.645833333,"CK","C4.5","Y","OS",0.6668,0.2928,"M&H IR","jedit-4.2",0.0516,0.2412
"jedit-4.3",11,492,0.022357724,43.72727273,"CK","C4.5","Y","OS",0.6832,0.2035,"M&H IR","jedit-4.3",0,0.2035
"log4j-1.0",34,135,0.251851852,2.970588235,"CK","C4.5","Y","OS",0.683,0.3651,"Low IR","log4j-1.0",0.4226,-0.0575
"Lucene",64,691,0.092619392,9.796875,"CK","C4.5","Y","OS",0.557,0.0883,"M&H IR","Lucene",0.0029,0.0854
"Mylyn",245,1862,0.131578947,6.6,"CK","C4.5","Y","OS",0.626,0.1942,"M&H IR","Mylyn",0.0139,0.1803
"poi-2.0",37,314,0.117834395,7.486486486,"CK","C4.5","Y","OS",0.6167,0.2173,"M&H IR","poi-2.0",0.0231,0.1942
"synapse-1.0",16,157,0.101910828,8.8125,"CK","C4.5","Y","OS",0.5994,0.1538,"M&H IR","synapse-1.0",0.0136,0.1402
"synapse-1.1",60,222,0.27027027,2.7,"CK","C4.5","Y","OS",0.6782,0.2829,"Low IR","synapse-1.1",0.3822,-0.0993
"synapse-1.2",86,256,0.3359375,1.976744186,"CK","C4.5","Y","OS",0.7138,0.4158,"Low IR","synapse-1.2",0.462,-0.0462
"velocity-1.6",78,229,0.340611354,1.935897436,"CK","C4.5","Y","OS",0.6129,0.2185,"Low IR","velocity-1.6",0.2073,0.0112
"xerces-1.2",71,440,0.161363636,5.197183099,"CK","C4.5","Y","OS",0.6599,0.2541,"M&H IR","xerces-1.2",-0.0046,0.2587
"xerces-1.3",69,453,0.152317881,5.565217391,"CK","C4.5","Y","OS",0.6629,0.3438,"M&H IR","xerces-1.3",0.3433,5e-04
"ant-1.3",20,125,0.16,5.25,"CK","C4.5","Y","UOS",0.6572,0.2727,"M&H IR","ant-1.3",-0.0098,0.2825
"ant-1.4",40,178,0.224719101,3.45,"CK","C4.5","Y","UOS",0.5857,0.1536,"Low IR","ant-1.4",0,0.1536
"ant-1.5",32,293,0.109215017,8.15625,"CK","C4.5","Y","UOS",0.6767,0.2841,"M&H IR","ant-1.5",0.3255,-0.0414
"ant-1.6",92,351,0.262108262,2.815217391,"CK","C4.5","Y","UOS",0.7276,0.4444,"Low IR","ant-1.6",0.4712,-0.0268
"camel-1.0",13,339,0.038348083,25.07692308,"CK","C4.5","Y","UOS",0.5178,0.0173,"M&H IR","camel-1.0",0,0.0173
"camel-1.2",216,608,0.355263158,1.814814815,"CK","C4.5","Y","UOS",0.5238,0.058,"Low IR","camel-1.2",0.0254,0.0326
