Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,ImbGroup,Metrics,Classifier,ImbLearner,ImbLearnerType,Gmean,AUC,Bal,F1,Recall,MCC,SLoe
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,C4.5,Y,US,0.2672,0.5427,0.3882,0.3731,0.8825,0.0905,0.3779
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,C4.5,Y,US,0.6584,0.696,0.6457,0.3674,0.6458,0.2963,0.5254
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,C4.5,Y,US,0.7316,0.7405,0.7193,0.6001,0.737,0.4462,0.6094
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,C4.5,Y,US,0.4029,0.6094,0.5093,0.1138,0.64,0.0938,0.3493
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,C4.5,Y,US,0.3621,0.5302,0.4179,0.38,0.5334,0.0565,0.1372
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,C4.5,Y,US,0.5944,0.6211,0.5873,0.3499,0.6173,0.1863,0.3627
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,C4.5,Y,US,0.5045,0.5811,0.5082,0.3179,0.5184,0.1224,0.2437
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,C4.5,Y,US,0.6865,0.7121,0.6668,0.3653,0.745,0.2984,0.6339
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,C4.5,Y,US,0.7041,0.7296,0.6868,0.6289,0.7844,0.4269,0.6305
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,C4.5,Y,US,0.6602,0.6935,0.646,0.5187,0.6291,0.3502,0.4776
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,C4.5,Y,US,0.6772,0.7068,0.6622,0.5443,0.64,0.3883,0.5276
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,C4.5,Y,US,0.7459,0.7556,0.7219,0.4363,0.8205,0.3735,0.734
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,C4.5,Y,US,0.2973,0.5829,0.4565,0.07,0.695,0.0602,0.2721
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,C4.5,Y,US,0.6661,0.714,0.6594,0.5464,0.6875,0.3984,0.5889
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,C4.5,Y,US,0.4051,0.5826,0.4936,0.2486,0.5925,0.1159,0.2291
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,C4.5,Y,US,0.5572,0.6836,0.603,0.3222,0.735,0.2515,0.5425
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,C4.5,Y,US,0.6129,0.6555,0.6049,0.4938,0.6117,0.285,0.4113
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,C4.5,Y,US,0.6728,0.6969,0.6603,0.5972,0.6756,0.3865,0.5223
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,C4.5,Y,US,0.5616,0.6166,0.5576,0.5115,0.6652,0.2183,0.3716
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,C4.5,Y,US,0.5617,0.6462,0.569,0.355,0.63,0.2235,0.4462
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,C4.5,Y,US,0.6695,0.7098,0.6532,0.401,0.7564,0.2915,0.606
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,C4.5,Y,US,0.6957,0.7184,0.6838,0.5159,0.6315,0.3785,0.4951
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,C4.5,Y,US,0.6424,0.6585,0.636,0.3506,0.6303,0.2267,0.4262
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,C4.5,Y,US,0.659,0.7147,0.6334,0.6487,0.7888,0.4008,0.6426
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,C4.5,Y,US,0.5339,0.6115,0.5393,0.2546,0.4767,0.1649,0.2965
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,C4.5,Y,US,0.6376,0.6568,0.6303,0.339,0.5907,0.2221,0.4005
ant-1.3,20,125,0.16,5.25,8~4,CK,C4.5,Y,OS,0.5235,0.6642,0.5896,0.3855,0.495,0.2869,0.4008
ant-1.4,40,178,0.2247191011235955,3.45,4~2,CK,C4.5,Y,OS,0.523,0.6056,0.525,0.379,0.66,0.142,0.3476
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,CK,C4.5,Y,OS,0.5475,0.6426,0.58,0.3285,0.4433,0.2493,0.3596
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,CK,C4.5,Y,OS,0.7098,0.7194,0.702,0.5765,0.6611,0.4193,0.5283
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,CK,C4.5,Y,OS,0.0784,0.5091,0.3416,0.0459,0.075,0.0114,0.0191
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,CK,C4.5,Y,OS,0.4449,0.5438,0.4597,0.4332,0.6008,0.0659,0.1487
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,CK,C4.5,Y,OS,0.5068,0.5563,0.5073,0.2815,0.3406,0.1142,0.143
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,CK,C4.5,Y,OS,0.5437,0.5774,0.5413,0.3239,0.4434,0.1163,0.1713
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,CK,C4.5,Y,OS,0.5088,0.6074,0.5457,0.2906,0.3875,0.1965,0.2809
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,CK,C4.5,Y,OS,0.6947,0.7213,0.6865,0.6086,0.6722,0.4073,0.5031
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,CK,C4.5,Y,OS,0.6696,0.684,0.6606,0.5241,0.5871,0.3683,0.4564
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,CK,C4.5,Y,OS,0.6537,0.6648,0.6527,0.5086,0.5905,0.3337,0.4217
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,CK,C4.5,Y,OS,0.6247,0.6668,0.6168,0.3885,0.4925,0.2928,0.3904
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,CK,C4.5,Y,OS,0.439,0.6832,0.5852,0.1897,0.445,0.2035,0.4092
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,CK,C4.5,Y,OS,0.6465,0.683,0.6433,0.5191,0.575,0.3651,0.4677
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,CK,C4.5,Y,OS,0.5147,0.6167,0.5386,0.3103,0.375,0.2173,0.2841
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,CK,C4.5,Y,OS,0.3321,0.5994,0.4907,0.2202,0.32,0.1538,0.2317
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,CK,C4.5,Y,OS,0.6202,0.6782,0.6179,0.485,0.5667,0.2829,0.3716
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,CK,C4.5,Y,OS,0.7046,0.7138,0.6953,0.6226,0.706,0.4158,0.5283
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,CK,C4.5,Y,OS,0.5916,0.6129,0.5868,0.5051,0.5809,0.2185,0.2845
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,CK,C4.5,Y,OS,0.6387,0.6599,0.6336,0.3906,0.5818,0.2541,0.4002
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,CK,C4.5,Y,OS,0.6457,0.6629,0.6324,0.4435,0.5048,0.3438,0.4243
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,CK,C4.5,Y,OS,0.6846,0.6992,0.6737,0.5023,0.5917,0.3582,0.4418
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,CK,C4.5,Y,OS,0.5534,0.5967,0.5433,0.3067,0.3836,0.176,0.225
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,CK,C4.5,Y,OS,0.6533,0.715,0.6317,0.6346,0.762,0.3765,0.5874
Lucene,64,691,0.09261939218523878,9.796875,16~8,CK,C4.5,Y,OS,0.4024,0.557,0.4527,0.1852,0.2398,0.0883,0.1158
Mylyn,245,1862,0.13157894736842105,6.6,8~4,CK,C4.5,Y,OS,0.5961,0.626,0.5886,0.3186,0.4686,0.1942,0.2941
ant-1.3,20,125,0.16,5.25,8~4,CK,C4.5,Y,UOS,0.5742,0.6572,0.607,0.3909,0.575,0.2727,0.4364
