Dataset,DefectNum,ModuleNum,DefectRate,ImbLevel,ImbGroup,Metrics,Classifier,ImbLearner,ImbLearnerType,Gmean,AUC,Bal,F1,Recall,MCC,SLoe
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,PROC,LR,Y,US,0.6706,0.7662,0.657,0.5848,0.5707,0.393,0.4685
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,PROC,LR,Y,US,0.5621,0.6371,0.558,0.3732,0.3937,0.2612,0.3205
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,PROC,LR,Y,US,0.6056,0.677,0.6044,0.3696,0.5129,0.242,0.3502
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,PROC,LR,Y,US,0.7105,0.763,0.697,0.544,0.6078,0.416,0.4817
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,PROC,LR,Y,US,0.6551,0.7191,0.6465,0.3847,0.5538,0.2682,0.397
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,PROC,LR,Y,US,0.7362,0.8127,0.7234,0.6887,0.6822,0.5031,0.5928
Lucene,64,691,0.09261939218523878,9.796875,16~8,PROC,LR,Y,US,0.6914,0.7524,0.6834,0.3913,0.5881,0.3331,0.4997
Mylyn,245,1862,0.13157894736842105,6.6,8~4,PROC,LR,Y,US,0.5677,0.6221,0.5552,0.3066,0.4033,0.1819,0.242
ant-1.3,20,125,0.16,5.25,8~4,PROC,LR,Y,OS,0.5864,0.6696,0.6175,0.4103,0.54,0.2895,0.3997
ant-1.4,40,178,0.2247191011235955,3.45,4~2,PROC,LR,Y,OS,0.3808,0.4082,0.405,0.2838,0.55,-0.1046,-0.3329
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,PROC,LR,Y,OS,0.7194,0.7923,0.708,0.4167,0.6842,0.3557,0.5877
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,PROC,LR,Y,OS,0.7318,0.7826,0.7199,0.6071,0.6806,0.4617,0.5684
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,PROC,LR,Y,OS,0.4786,0.7146,0.5768,0.152,0.5,0.1457,0.4004
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,PROC,LR,Y,OS,0.5745,0.6005,0.5696,0.473,0.4801,0.1871,0.2154
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,PROC,LR,Y,OS,0.5842,0.6838,0.5775,0.3506,0.4569,0.1975,0.2678
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,PROC,LR,Y,OS,0.4155,0.5495,0.4428,0.2381,0.2306,0.0853,0.1051
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,PROC,LR,Y,OS,0.7082,0.8139,0.7002,0.4445,0.63,0.3771,0.5478
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,PROC,LR,Y,OS,0.5556,0.7722,0.5538,0.4548,0.3967,0.2897,0.4075
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,PROC,LR,Y,OS,0.7062,0.8414,0.6888,0.5876,0.5973,0.4673,0.556
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,PROC,LR,Y,OS,0.7311,0.8357,0.7204,0.5933,0.7046,0.4446,0.5739
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,PROC,LR,Y,OS,0.7491,0.8709,0.7337,0.534,0.6685,0.4693,0.6108
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,PROC,LR,Y,OS,0.577,0.8408,0.6542,0.1272,0.635,0.1665,0.5642
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,PROC,LR,Y,OS,0.733,0.841,0.7132,0.6197,0.6683,0.5091,0.6415
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,PROC,LR,Y,OS,0.5798,0.6388,0.5883,0.3526,0.4483,0.2601,0.351
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,PROC,LR,Y,OS,0.6485,0.7618,0.677,0.3873,0.66,0.3327,0.5633
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,PROC,LR,Y,OS,0.5089,0.5411,0.5224,0.3629,0.43,0.0914,0.1182
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,PROC,LR,Y,OS,0.6114,0.7062,0.6055,0.5075,0.5243,0.2672,0.3247
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,PROC,LR,Y,OS,0.6693,0.7718,0.6531,0.5842,0.5521,0.4068,0.4969
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,PROC,LR,Y,OS,0.5357,0.6395,0.5369,0.362,0.3573,0.2591,0.3129
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,PROC,LR,Y,OS,0.5306,0.6767,0.5382,0.3368,0.3674,0.2239,0.2792
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,PROC,LR,Y,OS,0.7153,0.7662,0.7001,0.555,0.6072,0.4318,0.4895
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,PROC,LR,Y,OS,0.6569,0.7231,0.6488,0.386,0.5577,0.2698,0.4006
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,PROC,LR,Y,OS,0.7358,0.8171,0.7249,0.688,0.6871,0.4961,0.5737
Lucene,64,691,0.09261939218523878,9.796875,16~8,PROC,LR,Y,OS,0.6963,0.7591,0.6851,0.4008,0.5879,0.3441,0.5034
Mylyn,245,1862,0.13157894736842105,6.6,8~4,PROC,LR,Y,OS,0.5517,0.6149,0.5346,0.3198,0.3565,0.2087,0.2416
ant-1.3,20,125,0.16,5.25,8~4,PROC,LR,Y,UOS,0.5245,0.656,0.567,0.3615,0.54,0.2295,0.3635
ant-1.4,40,178,0.2247191011235955,3.45,4~2,PROC,LR,Y,UOS,0.3672,0.5229,0.4369,0.3354,0.655,0.0632,0.0976
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,PROC,LR,Y,UOS,0.6983,0.7885,0.6885,0.4058,0.6383,0.3388,0.5427
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,PROC,LR,Y,UOS,0.7151,0.7786,0.7028,0.5917,0.6511,0.442,0.5388
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,PROC,LR,Y,UOS,0.5286,0.7406,0.609,0.1672,0.57,0.1705,0.4748
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,PROC,LR,Y,UOS,0.5285,0.5914,0.533,0.4545,0.4869,0.1542,0.1819
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,PROC,LR,Y,UOS,0.5885,0.6815,0.5868,0.3553,0.5227,0.1971,0.3075
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,PROC,LR,Y,UOS,0.4286,0.557,0.4564,0.2484,0.2538,0.0928,0.1154
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,PROC,LR,Y,UOS,0.6943,0.8043,0.6913,0.4243,0.625,0.3515,0.522
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,PROC,LR,Y,UOS,0.5871,0.7739,0.5974,0.5039,0.4967,0.3271,0.4205
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,PROC,LR,Y,UOS,0.7133,0.8343,0.6971,0.5852,0.6196,0.4566,0.5443
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,PROC,LR,Y,UOS,0.7175,0.8237,0.7059,0.5853,0.6589,0.4414,0.5457
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,PROC,LR,Y,UOS,0.7552,0.8696,0.7412,0.5275,0.6895,0.4611,0.6171
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,PROC,LR,Y,UOS,0.4543,0.8043,0.5784,0.1143,0.49,0.1312,0.4051
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,PROC,LR,Y,UOS,0.723,0.836,0.7032,0.6118,0.6467,0.5014,0.6364
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,PROC,LR,Y,UOS,0.5504,0.6481,0.5716,0.3316,0.4283,0.2333,0.3121
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,PROC,LR,Y,UOS,0.6155,0.7479,0.6545,0.3508,0.65,0.2884,0.5202
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,PROC,LR,Y,UOS,0.3991,0.5159,0.4494,0.2777,0.2983,0.0459,0.068
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,PROC,LR,Y,UOS,0.6176,0.7057,0.6097,0.52,0.5389,0.2839,0.3496
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,PROC,LR,Y,UOS,0.6637,0.7528,0.6526,0.5797,0.5643,0.3987,0.4863
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,PROC,LR,Y,UOS,0.5467,0.6286,0.5555,0.367,0.4427,0.2356,0.2571
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,PROC,LR,Y,UOS,0.5665,0.6609,0.5727,0.3647,0.4329,0.2509,0.3199
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,PROC,LR,Y,UOS,0.7168,0.7671,0.7039,0.551,0.6196,0.4254,0.4988
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,PROC,LR,Y,UOS,0.6506,0.7217,0.6396,0.3897,0.5333,0.2748,0.3857
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,PROC,LR,Y,UOS,0.7135,0.8058,0.6986,0.6615,0.6378,0.4669,0.5598
Lucene,64,691,0.09261939218523878,9.796875,16~8,PROC,LR,Y,UOS,0.7059,0.7531,0.696,0.4057,0.6067,0.3493,0.5183
Mylyn,245,1862,0.13157894736842105,6.6,8~4,PROC,LR,Y,UOS,0.5643,0.6145,0.5496,0.3153,0.3872,0.1973,0.2469
ant-1.3,20,125,0.16,5.25,8~4,PROC,LR,Y,SMOTE,0.6305,0.6749,0.6415,0.4409,0.59,0.3307,0.4761
ant-1.4,40,178,0.2247191011235955,3.45,4~2,PROC,LR,Y,SMOTE,0.368,0.4691,0.4191,0.2517,0.395,-0.058,-0.1888
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,PROC,LR,Y,SMOTE,0.7048,0.7881,0.6969,0.4007,0.6667,0.3349,0.56
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,PROC,LR,Y,SMOTE,0.724,0.7805,0.7135,0.5991,0.6643,0.4485,0.5382
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,PROC,LR,Y,SMOTE,0.5404,0.8203,0.6144,0.1779,0.57,0.182,0.4867
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,PROC,LR,Y,SMOTE,0.5726,0.5927,0.5704,0.4777,0.5186,0.1593,0.185
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,PROC,LR,Y,SMOTE,0.6281,0.7008,0.6196,0.3919,0.5205,0.2464,0.337
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,PROC,LR,Y,SMOTE,0.503,0.5642,0.5014,0.2981,0.3294,0.1115,0.1283
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,PROC,LR,Y,SMOTE,0.695,0.8124,0.6887,0.4119,0.625,0.3407,0.5306
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,PROC,LR,Y,SMOTE,0.5643,0.7801,0.5598,0.4642,0.4056,0.3027,0.4238
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,PROC,LR,Y,SMOTE,0.7055,0.8508,0.6904,0.5764,0.6036,0.4453,0.5226
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,PROC,LR,Y,SMOTE,0.7258,0.8308,0.7167,0.585,0.6998,0.4327,0.5576
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,PROC,LR,Y,SMOTE,0.7437,0.866,0.7292,0.5263,0.6605,0.4595,0.5992
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,PROC,LR,Y,SMOTE,0.4435,0.7767,0.5577,0.0825,0.5,0.0941,0.3785
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,PROC,LR,Y,SMOTE,0.7437,0.858,0.7256,0.6306,0.6875,0.5189,0.6489
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,PROC,LR,Y,SMOTE,0.5448,0.6638,0.5624,0.286,0.4367,0.1729,0.2685
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,PROC,LR,Y,SMOTE,0.6902,0.7704,0.705,0.398,0.725,0.3549,0.6401
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,PROC,LR,Y,SMOTE,0.5024,0.5469,0.5239,0.3635,0.42,0.1106,0.1406
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,PROC,LR,Y,SMOTE,0.6358,0.7113,0.6298,0.539,0.5874,0.2908,0.3549
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,PROC,LR,Y,SMOTE,0.6818,0.7741,0.6695,0.5965,0.5862,0.4055,0.4671
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,PROC,LR,Y,SMOTE,0.5555,0.6358,0.5502,0.3768,0.3788,0.2755,0.3419
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,PROC,LR,Y,SMOTE,0.6154,0.6846,0.6132,0.3593,0.5843,0.2312,0.4086
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,PROC,LR,Y,SMOTE,0.7123,0.7657,0.6978,0.5492,0.6058,0.4242,0.4864
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,PROC,LR,Y,SMOTE,0.6366,0.7081,0.624,0.3781,0.5097,0.2605,0.3596
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,PROC,LR,Y,SMOTE,0.7363,0.8164,0.7259,0.6884,0.6916,0.4943,0.5718
Lucene,64,691,0.09261939218523878,9.796875,16~8,PROC,LR,Y,SMOTE,0.7039,0.7633,0.6929,0.4124,0.5986,0.3568,0.5157
Mylyn,245,1862,0.13157894736842105,6.6,8~4,PROC,LR,Y,SMOTE,0.5566,0.66,0.5493,0.2806,0.4079,0.1431,0.2126
ant-1.3,20,125,0.16,5.25,8~4,PROC,LR,Y,COS,0.6288,0.7205,0.6436,0.435,0.61,0.3251,0.4917
ant-1.4,40,178,0.2247191011235955,3.45,4~2,PROC,LR,Y,COS,0.3244,0.4496,0.4077,0.2516,0.445,-0.0069,-0.0103
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,PROC,LR,Y,COS,0.7176,0.7915,0.7051,0.4004,0.6992,0.3402,0.6011
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,PROC,LR,Y,COS,0.7243,0.7867,0.7128,0.6001,0.6636,0.4513,0.5478
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,PROC,LR,Y,COS,0.6033,0.8252,0.6558,0.1975,0.64,0.2116,0.5608
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,PROC,LR,Y,COS,0.5506,0.6023,0.5467,0.4433,0.4186,0.1896,0.2334
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,PROC,LR,Y,COS,0.6376,0.7007,0.6301,0.3984,0.5385,0.2556,0.3596
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,PROC,LR,Y,COS,0.5062,0.56,0.5045,0.3002,0.3351,0.1124,0.1302
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,PROC,LR,Y,COS,0.6994,0.8262,0.6943,0.4306,0.625,0.3611,0.5336
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,PROC,LR,Y,COS,0.5688,0.7822,0.5665,0.4718,0.4167,0.3054,0.4141
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,PROC,LR,Y,COS,0.728,0.8476,0.7122,0.6048,0.6341,0.4836,0.5627
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,PROC,LR,Y,COS,0.7322,0.8431,0.7184,0.6079,0.6604,0.4725,0.5617
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,PROC,LR,Y,COS,0.7485,0.869,0.7316,0.5381,0.662,0.4734,0.6051
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,PROC,LR,Y,COS,0.5108,0.8061,0.6179,0.1413,0.545,0.1661,0.4703
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,PROC,LR,Y,COS,0.717,0.8446,0.7015,0.5942,0.6533,0.4679,0.5887
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,PROC,LR,Y,COS,0.5322,0.6571,0.558,0.2859,0.425,0.1769,0.2742
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,PROC,LR,Y,COS,0.6775,0.7772,0.6975,0.3965,0.705,0.3507,0.6215
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,PROC,LR,Y,COS,0.5159,0.5393,0.5252,0.3708,0.455,0.092,0.1162
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,PROC,LR,Y,COS,0.6478,0.7178,0.642,0.5527,0.5979,0.314,0.3763
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,PROC,LR,Y,COS,0.6737,0.7748,0.6583,0.5904,0.5609,0.4123,0.4965
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,PROC,LR,Y,COS,0.5496,0.6412,0.5506,0.3649,0.3814,0.253,0.3013
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,PROC,LR,Y,COS,0.6318,0.6646,0.6254,0.3762,0.5921,0.2486,0.4164
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,PROC,LR,Y,COS,0.7216,0.7639,0.7078,0.56,0.6203,0.4373,0.5011
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,PROC,LR,Y,COS,0.648,0.7215,0.6376,0.3833,0.5336,0.267,0.3821
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,PROC,LR,Y,COS,0.7351,0.816,0.7237,0.687,0.6823,0.4966,0.5738
Lucene,64,691,0.09261939218523878,9.796875,16~8,PROC,LR,Y,COS,0.6941,0.7515,0.6808,0.3977,0.5802,0.3397,0.4942
Mylyn,245,1862,0.13157894736842105,6.6,8~4,PROC,LR,Y,COS,0.566,0.5945,0.5518,0.3113,0.3907,0.1888,0.2408
ant-1.3,20,125,0.16,5.25,8~4,PROC,LR,Y,EM1v1,0.6655,0.7352,0.6692,0.4697,0.64,0.3636,0.524
ant-1.4,40,178,0.2247191011235955,3.45,4~2,PROC,LR,Y,EM1v1,0.3827,0.5668,0.4727,0.2714,0.31,0.0942,0.105
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,PROC,LR,Y,EM1v1,0.7299,0.8065,0.7158,0.4129,0.7142,0.3541,0.6152
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,PROC,LR,Y,EM1v1,0.6935,0.7891,0.6743,0.5783,0.57,0.4472,0.5285
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,PROC,LR,Y,EM1v1,0.6091,0.8197,0.6534,0.1756,0.675,0.1925,0.5775
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,PROC,LR,Y,EM1v1,0.3549,0.6043,0.3923,0.2256,0.1431,0.1615,0.4392
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,PROC,LR,Y,EM1v1,0.6382,0.702,0.6303,0.4003,0.5381,0.2568,0.3582
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,PROC,LR,Y,EM1v1,0.506,0.5604,0.5043,0.3,0.3346,0.1125,0.1303
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,PROC,LR,Y,EM1v1,0.7356,0.8385,0.7242,0.4607,0.6775,0.3973,0.5923
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,PROC,LR,Y,EM1v1,0.6161,0.7831,0.6041,0.5202,0.4744,0.3483,0.4421
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,PROC,LR,Y,EM1v1,0.7424,0.8505,0.7302,0.6116,0.6791,0.4855,0.5817
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,PROC,LR,Y,EM1v1,0.7006,0.8372,0.6868,0.5808,0.5934,0.4467,0.5178
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,PROC,LR,Y,EM1v1,0.7578,0.8733,0.7436,0.5344,0.688,0.4694,0.6239
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,PROC,LR,Y,EM1v1,0.5762,0.8272,0.6311,0.0997,0.665,0.1323,0.5517
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,PROC,LR,Y,EM1v1,0.7276,0.8547,0.7081,0.6175,0.655,0.507,0.6358
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,PROC,LR,Y,EM1v1,0.5424,0.6689,0.5598,0.2836,0.4325,0.1674,0.2589
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,PROC,LR,Y,EM1v1,0.6933,0.7876,0.6992,0.3877,0.745,0.3437,0.6534
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,PROC,LR,Y,EM1v1,0.3182,0.5488,0.3959,0.2159,0.1583,0.0842,0.1875
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,PROC,LR,Y,EM1v1,0.4887,0.719,0.4918,0.3787,0.294,0.2358,0.384
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,PROC,LR,Y,EM1v1,0.5757,0.7785,0.5478,0.489,0.3652,0.4164,0.7278
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,PROC,LR,Y,EM1v1,0.5866,0.6453,0.5776,0.3907,0.4241,0.2766,0.3331
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,PROC,LR,Y,EM1v1,0.6435,0.6993,0.6348,0.4152,0.5274,0.2983,0.3939
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,PROC,LR,Y,EM1v1,0.7003,0.769,0.6766,0.5576,0.5591,0.4461,0.4828
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,PROC,LR,Y,EM1v1,0.6608,0.7267,0.6513,0.3928,0.5571,0.2788,0.4065
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,PROC,LR,Y,EM1v1,0.6922,0.8178,0.6696,0.6326,0.5612,0.4722,0.6121
Lucene,64,691,0.09261939218523878,9.796875,16~8,PROC,LR,Y,EM1v1,0.6928,0.7607,0.6829,0.3983,0.5857,0.3407,0.4998
Mylyn,245,1862,0.13157894736842105,6.6,8~4,PROC,LR,Y,EM1v1,0.5675,0.6416,0.5479,0.3346,0.3752,0.2249,0.2592
ant-1.3,20,125,0.16,5.25,8~4,PROC,LR,Y,UBag,0.6454,0.7284,0.654,0.4446,0.635,0.3365,0.5162
ant-1.4,40,178,0.2247191011235955,3.45,4~2,PROC,LR,Y,UBag,0.581,0.6473,0.5816,0.416,0.605,0.1929,0.2676
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,PROC,LR,Y,UBag,0.7287,0.8058,0.7148,0.4174,0.7042,0.3576,0.6056
ant-1.6,92,351,0.2621082621082621,2.8152173913043477,4~2,PROC,LR,Y,UBag,0.7334,0.793,0.7228,0.6077,0.6856,0.4606,0.5644
camel-1.0,13,339,0.038348082595870206,25.076923076923077,64~16,PROC,LR,Y,UBag,0.6087,0.8174,0.6588,0.1946,0.665,0.2108,0.5772
camel-1.2,216,608,0.35526315789473684,1.8148148148148149,2~1,PROC,LR,Y,UBag,0.5827,0.6048,0.5784,0.4822,0.4929,0.1959,0.2213
camel-1.4,145,872,0.16628440366972477,5.0137931034482754,8~4,PROC,LR,Y,UBag,0.6426,0.7029,0.6375,0.3954,0.5646,0.25,0.375
camel-1.6,188,965,0.19481865284974093,4.132978723404255,8~4,PROC,LR,Y,UBag,0.5057,0.5595,0.5041,0.3,0.3341,0.1128,0.1305
ivy-2.0,40,352,0.11363636363636363,7.8,8~4,PROC,LR,Y,UBag,0.7233,0.8341,0.7144,0.4502,0.665,0.3861,0.5806
jedit-3.2,90,272,0.33088235294117646,2.022222222222222,4~2,PROC,LR,Y,UBag,0.6528,0.7876,0.6414,0.5626,0.5333,0.3882,0.4724
jedit-4.0,75,306,0.24509803921568626,3.08,4~2,PROC,LR,Y,UBag,0.7484,0.8524,0.736,0.617,0.6962,0.4905,0.599
jedit-4.1,79,312,0.2532051282051282,2.949367088607595,4~2,PROC,LR,Y,UBag,0.7338,0.8399,0.7238,0.5987,0.6945,0.4539,0.5699
jedit-4.2,48,367,0.1307901907356948,6.645833333333333,8~4,PROC,LR,Y,UBag,0.771,0.8762,0.7564,0.5424,0.7195,0.4819,0.661
jedit-4.3,11,492,0.022357723577235773,43.72727272727273,64~16,PROC,LR,Y,UBag,0.5778,0.811,0.6368,0.1063,0.665,0.1417,0.5676
log4j-1.0,34,135,0.2518518518518518,2.9705882352941178,4~2,PROC,LR,Y,UBag,0.7367,0.861,0.7185,0.6169,0.6942,0.4966,0.6315
poi-2.0,37,314,0.1178343949044586,7.486486486486487,8~4,PROC,LR,Y,UBag,0.5559,0.6696,0.5704,0.2894,0.4567,0.1764,0.2854
synapse-1.0,16,157,0.10191082802547771,8.8125,16~8,PROC,LR,Y,UBag,0.6779,0.7774,0.691,0.3838,0.725,0.3403,0.6412
synapse-1.1,60,222,0.2702702702702703,2.7,4~2,PROC,LR,Y,UBag,0.5179,0.5476,0.5271,0.3685,0.44,0.0963,0.125
synapse-1.2,86,256,0.3359375,1.9767441860465116,2~1,PROC,LR,Y,UBag,0.6467,0.7166,0.6398,0.5532,0.6056,0.3133,0.3839
velocity-1.6,78,229,0.3406113537117904,1.935897435897436,2~1,PROC,LR,Y,UBag,0.6726,0.7804,0.6597,0.5868,0.5734,0.3968,0.4689
xerces-1.2,71,440,0.16136363636363638,5.197183098591549,8~4,PROC,LR,Y,UBag,0.5856,0.6435,0.5815,0.3826,0.4336,0.2626,0.3247
xerces-1.3,69,453,0.152317880794702,5.565217391304348,8~4,PROC,LR,Y,UBag,0.6411,0.694,0.6349,0.4073,0.5398,0.2849,0.386
Eclipse_JDT_Core,206,997,0.20661985957873621,3.8398058252427183,4~2,PROC,LR,Y,UBag,0.7165,0.7695,0.7018,0.5548,0.6111,0.431,0.4911
Eclipse_PDE_UI,209,1497,0.1396125584502338,6.162679425837321,8~4,PROC,LR,Y,UBag,0.6581,0.7252,0.6502,0.384,0.5632,0.2673,0.4033
Equinox_Framework,129,324,0.39814814814814814,1.5116279069767442,2~1,PROC,LR,Y,UBag,0.7347,0.8175,0.7244,0.6878,0.6922,0.4922,0.5694
Lucene,64,691,0.09261939218523878,9.796875,16~8,PROC,LR,Y,UBag,0.692,0.7581,0.6825,0.384,0.5914,0.3264,0.5003
Mylyn,245,1862,0.13157894736842105,6.6,8~4,PROC,LR,Y,UBag,0.5761,0.6312,0.5598,0.3252,0.3997,0.2069,0.2584
ant-1.3,20,125,0.16,5.25,8~4,PROC,LR,Y,OBag,0.6143,0.6648,0.6332,0.4305,0.56,0.3124,0.4301
ant-1.4,40,178,0.2247191011235955,3.45,4~2,PROC,LR,Y,OBag,0.4529,0.5005,0.4642,0.3168,0.5275,-0.0068,-0.0952
ant-1.5,32,293,0.10921501706484642,8.15625,16~8,PROC,LR,Y,OBag,0.7201,0.7942,0.7099,0.4229,0.6783,0.3607,0.5813
